Start Date,WCASES
03/01/2005,0
10/01/2005,0
17/01/2005,0
24/01/2005,0
31/01/2005,0
07/02/2005,0
14/02/2005,0
21/02/2005,0
28/02/2005,1
07/03/2005,0
14/03/2005,1
21/03/2005,0
28/03/2005,1
04/04/2005,8
11/04/2005,1
18/04/2005,7
25/04/2005,0
02/05/2005,11
09/05/2005,12
16/05/2005,8
23/05/2005,18
30/05/2005,7
06/06/2005,14
13/06/2005,7
20/06/2005,11
27/06/2005,7
04/07/2005,5
11/07/2005,4
18/07/2005,2
25/07/2005,3
01/08/2005,6
08/08/2005,1
15/08/2005,1
22/08/2005,1
29/08/2005,0
05/09/2005,1
12/09/2005,0
19/09/2005,0
26/09/2005,1
03/10/2005,0
10/10/2005,0
17/10/2005,0
24/10/2005,0
07/11/2005,0
14/11/2005,3
21/11/2005,0
28/11/2005,0
05/12/2005,0
12/12/2005,0
19/12/2005,0
02/01/2006,1
09/01/2006,1
16/01/2006,0
23/01/2006,0
30/01/2006,1
06/02/2006,2
13/02/2006,2
20/02/2006,1
27/02/2006,0
06/03/2006,1
13/03/2006,0
20/03/2006,0
27/03/2006,0
03/04/2006,2
10/04/2006,1
17/04/2006,0
24/04/2006,1
01/05/2006,7
08/05/2006,2
15/05/2006,2
22/05/2006,6
29/05/2006,12
05/06/2006,9
12/06/2006,14
19/06/2006,23
26/06/2006,39
03/07/2006,38
10/07/2006,18
17/07/2006,43
24/07/2006,4
31/07/2006,17
07/08/2006,25
14/08/2006,15
21/08/2006,20
28/08/2006,27
04/09/2006,33
11/09/2006,36
18/09/2006,19
25/09/2006,16
02/10/2006,6
09/10/2006,18
16/10/2006,23
23/10/2006,10
30/10/2006,10
06/11/2006,11
13/11/2006,8
20/11/2006,15
27/11/2006,4
04/12/2006,6
11/12/2006,5
18/12/2006,3
25/12/2006,0
01/01/2007,5
08/01/2007,4
15/01/2007,4
22/01/2007,5
29/01/2007,3
05/02/2007,3
12/02/2007,4
19/02/2007,4
26/02/2007,1
05/03/2007,2
12/03/2007,0
19/03/2007,1
26/03/2007,0
02/04/2007,0
09/04/2007,0
16/04/2007,1
23/04/2007,1
30/04/2007,1
07/05/2007,2
14/05/2007,0
21/05/2007,2
28/05/2007,6
04/06/2007,8
11/06/2007,2
18/06/2007,21
25/06/2007,26
02/07/2007,48
09/07/2007,42
16/07/2007,24
23/07/2007,32
30/07/2007,13
06/08/2007,30
13/08/2007,11
20/08/2007,8
27/08/2007,14
03/09/2007,14
10/09/2007,28
17/09/2007,40
24/09/2007,25
01/10/2007,24
08/10/2007,38
15/10/2007,8
22/10/2007,3
29/10/2007,0
05/11/2007,2
12/11/2007,3
19/11/2007,2
26/11/2007,4
03/12/2007,5
10/12/2007,8
17/12/2007,4
24/12/2007,0
31/12/2007,0
07/01/2008,12
14/01/2008,17
21/01/2008,14
28/01/2008,12
04/02/2008,14
11/02/2008,15
18/02/2008,17
25/02/2008,30
03/03/2008,8
10/03/2008,16
17/03/2008,10
24/03/2008,14
31/03/2008,12
07/04/2008,10
14/04/2008,4
21/04/2008,12
28/04/2008,14
05/05/2008,6
12/05/2008,7
19/05/2008,4
26/05/2008,12
02/06/2008,12
09/06/2008,13
16/06/2008,23
23/06/2008,35
30/06/2008,20
07/07/2008,27
14/07/2008,39
21/07/2008,45
28/07/2008,36
04/08/2008,32
11/08/2008,19
18/08/2008,19
25/08/2008,12
01/09/2008,18
08/09/2008,8
15/09/2008,17
22/09/2008,26
29/09/2008,28
06/10/2008,15
13/10/2008,8
20/10/2008,3
27/10/2008,8
03/11/2008,10
10/11/2008,8
17/11/2008,17
24/11/2008,3
01/12/2008,7
08/12/2008,26
15/12/2008,11
22/12/2008,2
29/12/2008,18
05/01/2009,5
12/01/2009,11
19/01/2009,9
26/01/2009,8
02/02/2009,12
09/02/2009,23
16/02/2009,20
23/02/2009,15
02/03/2009,27
09/03/2009,34
16/03/2009,30
23/03/2009,12
30/03/2009,4
06/04/2009,18
29/06/2009,832
06/07/2009,746
13/07/2009,698
20/07/2009,334
27/07/2009,358
03/08/2009,136
10/08/2009,104
17/08/2009,68
24/08/2009,16
31/08/2009,16
07/09/2009,11
14/09/2009,5
21/09/2009,4
28/09/2009,5
05/10/2009,5
12/10/2009,14
26/10/2009,8
02/11/2009,7
09/11/2009,17
16/11/2009,6
23/11/2009,10
30/11/2009,10
07/12/2009,9
14/12/2009,1
04/01/2010,9
11/01/2010,17
18/01/2010,3
25/01/2010,6
01/02/2010,16
08/02/2010,43
15/02/2010,20
22/02/2010,13
01/03/2010,6
08/03/2010,15
15/03/2010,9
22/03/2010,10
29/03/2010,9
05/04/2010,15
12/04/2010,8
19/04/2010,8
26/04/2010,3
03/05/2010,2
10/05/2010,3
17/05/2010,13
24/05/2010,7
31/05/2010,10
07/06/2010,13
14/06/2010,22
21/06/2010,28
28/06/2010,48
05/07/2010,55
12/07/2010,78
19/07/2010,74
26/07/2010,114
02/08/2010,92
09/08/2010,116
16/08/2010,148
23/08/2010,174
30/08/2010,82
06/09/2010,54
13/09/2010,97
20/09/2010,87
27/09/2010,59
04/10/2010,36
11/10/2010,42
18/10/2010,5
25/10/2010,14
01/11/2010,4
08/11/2010,7
15/11/2010,7
22/11/2010,12
29/11/2010,3
06/12/2010,2
13/12/2010,5
20/12/2010,1
03/01/2011,5
10/01/2011,13
17/01/2011,5
24/01/2011,7
31/01/2011,8
07/02/2011,20
14/02/2011,25
21/02/2011,21
28/02/2011,15
07/03/2011,20
14/03/2011,20
21/03/2011,18
28/03/2011,13
04/04/2011,10
11/04/2011,10
18/04/2011,3
25/04/2011,5
02/05/2011,6
09/05/2011,3
16/05/2011,1
23/05/2011,6
30/05/2011,10
06/06/2011,6
13/06/2011,6
20/06/2011,2
27/06/2011,17
04/07/2011,17
11/07/2011,20
18/07/2011,32
25/07/2011,12
01/08/2011,28
08/08/2011,28
15/08/2011,51
22/08/2011,39
29/08/2011,2
05/09/2011,24
12/09/2011,18
19/09/2011,16
26/09/2011,17
03/10/2011,29
10/10/2011,25
17/10/2011,45
24/10/2011,41
31/10/2011,11
07/11/2011,22
14/11/2011,34
21/11/2011,27
28/11/2011,22
05/12/2011,24
12/12/2011,24
19/12/2011,11
26/12/2011,0
02/01/2012,28
09/01/2012,32
16/01/2012,16
23/01/2012,16
30/01/2012,6
06/02/2012,9
13/02/2012,7
20/02/2012,5
27/02/2012,3
05/03/2012,2
12/03/2012,4
19/03/2012,1
26/03/2012,1
02/04/2012,1
09/04/2012,2
16/04/2012,3
23/04/2012,0
30/04/2012,0
07/05/2012,0
14/05/2012,1
21/05/2012,0
28/05/2012,0
04/06/2012,0
11/06/2012,0
18/06/2012,2
25/06/2012,2
02/07/2012,8
09/07/2012,14
16/07/2012,59
23/07/2012,71
30/07/2012,41
06/08/2012,29
13/08/2012,30
20/08/2012,13
27/08/2012,33
03/09/2012,25
10/09/2012,20
17/09/2012,22
24/09/2012,20
01/10/2012,12
08/10/2012,12
15/10/2012,11
22/10/2012,5
29/10/2012,13
05/11/2012,10
12/11/2012,25
19/11/2012,3
26/11/2012,11
03/12/2012,11
10/12/2012,11
31/12/2012,1
07/01/2013,16
14/01/2013,26
21/01/2013,19
28/01/2013,32
04/02/2013,27
11/02/2013,30
18/02/2013,19
25/02/2013,21
04/03/2013,27
11/03/2013,29
18/03/2013,17
25/03/2013,14
01/04/2013,16
08/04/2013,3
15/04/2013,12
22/04/2013,4
29/04/2013,6
06/05/2013,2
13/05/2013,8
