Start Date,WCASES
01/01/1973,26
08/01/1973,51
15/01/1973,15
22/01/1973,20
29/01/1973,44
05/02/1973,1
12/02/1973,41
19/02/1973,2
26/02/1973,46
05/03/1973,18
12/03/1973,28
19/03/1973,9
26/03/1973,25
02/04/1973,6
09/04/1973,26
16/04/1973,33
23/04/1973,28
30/04/1973,38
07/05/1973,86
14/05/1973,50
21/05/1973,15
04/06/1973,29
11/06/1973,35
18/06/1973,61
25/06/1973,18
02/07/1973,5
09/07/1973,15
16/07/1973,9
23/07/1973,0
30/07/1973,4
06/08/1973,2
13/08/1973,6
20/08/1973,0
27/08/1973,2
03/09/1973,2
10/09/1973,1
01/10/1973,1
08/10/1973,1
15/10/1973,7
22/10/1973,4
29/10/1973,0
05/11/1973,8
12/11/1973,2
19/11/1973,22
26/11/1973,15
03/12/1973,27
10/12/1973,3
17/12/1973,0
24/12/1973,1
07/01/1974,2
14/01/1974,0
21/01/1974,3
28/01/1974,1
04/02/1974,1
11/02/1974,7
18/02/1974,6
25/02/1974,0
04/03/1974,0
11/03/1974,3
18/03/1974,2
25/03/1974,3
01/04/1974,7
08/04/1974,0
15/04/1974,0
22/04/1974,4
29/04/1974,1
06/05/1974,2
13/05/1974,2
20/05/1974,3
27/05/1974,8
17/06/1974,0
24/06/1974,0
01/07/1974,0
08/07/1974,0
15/07/1974,0
22/07/1974,0
29/07/1974,5
05/08/1974,2
12/08/1974,0
19/08/1974,1
26/08/1974,0
02/09/1974,0
09/09/1974,1
30/09/1974,2
07/10/1974,0
14/10/1974,2
21/10/1974,0
28/10/1974,0
04/11/1974,4
11/11/1974,0
18/11/1974,3
25/11/1974,2
02/12/1974,0
09/12/1974,1
16/12/1974,1
23/12/1974,0
30/12/1974,1
06/01/1975,1
13/01/1975,1
20/01/1975,0
27/01/1975,0
03/02/1975,0
10/02/1975,3
17/02/1975,4
24/02/1975,0
03/03/1975,19
10/03/1975,0
17/03/1975,10
24/03/1975,6
31/03/1975,6
07/04/1975,0
14/04/1975,5
21/04/1975,14
28/04/1975,12
05/05/1975,15
12/05/1975,15
19/05/1975,15
26/05/1975,0
02/06/1975,20
09/06/1975,75
16/06/1975,7
23/06/1975,17
30/06/1975,8
07/07/1975,16
14/07/1975,6
21/07/1975,8
28/07/1975,0
04/08/1975,0
11/08/1975,1
18/08/1975,3
25/08/1975,0
01/09/1975,1
08/09/1975,0
15/09/1975,0
22/09/1975,1
29/09/1975,0
06/10/1975,0
13/10/1975,0
20/10/1975,0
27/10/1975,0
03/11/1975,0
10/11/1975,3
17/11/1975,0
24/11/1975,0
01/12/1975,0
08/12/1975,7
15/12/1975,0
22/12/1975,0
12/01/1976,2
19/01/1976,0
26/01/1976,0
02/02/1976,0
09/02/1976,5
16/02/1976,18
23/02/1976,0
01/03/1976,9
08/03/1976,0
15/03/1976,29
22/03/1976,0
29/03/1976,1
05/04/1976,11
12/04/1976,16
19/04/1976,0
26/04/1976,1
03/05/1976,1
10/05/1976,0
17/05/1976,2
24/05/1976,30
31/05/1976,67
07/06/1976,57
14/06/1976,60
21/06/1976,4
28/06/1976,2
05/07/1976,14
12/07/1976,0
19/07/1976,4
26/07/1976,0
02/08/1976,1
09/08/1976,2
16/08/1976,0
23/08/1976,1
30/08/1976,20
06/09/1976,6
13/09/1976,1
20/09/1976,2
27/09/1976,0
04/10/1976,0
11/10/1976,9
18/10/1976,0
25/10/1976,2
01/11/1976,0
08/11/1976,1
15/11/1976,0
22/11/1976,2
29/11/1976,3
06/12/1976,1
13/12/1976,1
20/12/1976,2
10/01/1977,5
17/01/1977,48
24/01/1977,29
31/01/1977,3
07/02/1977,1
14/02/1977,19
07/03/1977,8
14/03/1977,1
21/03/1977,37
28/03/1977,17
04/04/1977,12
11/04/1977,44
18/04/1977,24
25/04/1977,23
02/05/1977,7
09/05/1977,31
16/05/1977,21
23/05/1977,27
30/05/1977,17
06/06/1977,28
