Start Date,WCASES
19/03/2012,1
26/03/2012,0
02/04/2012,0
09/04/2012,0
16/04/2012,0
23/04/2012,0
30/04/2012,0
07/05/2012,0
14/05/2012,0
21/05/2012,0
28/05/2012,0
04/06/2012,1
11/06/2012,0
18/06/2012,0
25/06/2012,0
02/07/2012,0
09/07/2012,0
16/07/2012,0
23/07/2012,0
30/07/2012,0
06/08/2012,0
13/08/2012,0
20/08/2012,0
27/08/2012,0
03/09/2012,0
10/09/2012,0
17/09/2012,0
24/09/2012,0
01/10/2012,0
08/10/2012,1
15/10/2012,1
22/10/2012,0
29/10/2012,1
05/11/2012,0
12/11/2012,1
19/11/2012,0
26/11/2012,0
03/12/2012,0
10/12/2012,0
17/12/2012,0
31/12/2012,0
07/01/2013,0
14/01/2013,0
21/01/2013,1
28/01/2013,0
04/02/2013,1
11/02/2013,0
18/02/2013,0
25/02/2013,2
04/03/2013,0
11/03/2013,0
18/03/2013,0
25/03/2013,0
01/04/2013,1
08/04/2013,0
15/04/2013,6
22/04/2013,8
29/04/2013,5
06/05/2013,3
13/05/2013,4
20/05/2013,4
27/05/2013,7
03/06/2013,5
10/06/2013,5
17/06/2013,6
24/06/2013,5
01/07/2013,1
08/07/2013,4
15/07/2013,3
22/07/2013,4
29/07/2013,1
05/08/2013,3
12/08/2013,7
19/08/2013,6
26/08/2013,7
02/09/2013,12
09/09/2013,6
16/09/2013,6
23/09/2013,3
30/09/2013,2
07/10/2013,3
14/10/2013,2
21/10/2013,3
28/10/2013,1
04/11/2013,2
11/11/2013,2
18/11/2013,2
25/11/2013,2
02/12/2013,2
09/12/2013,0
16/12/2013,6
30/12/2013,5
06/01/2014,0
13/01/2014,0
20/01/2014,2
27/01/2014,1
03/02/2014,3
10/02/2014,1
17/02/2014,2
24/02/2014,7
03/03/2014,6
10/03/2014,7
17/03/2014,19
24/03/2014,10
31/03/2014,51
07/04/2014,56
14/04/2014,61
21/04/2014,93
28/04/2014,92
05/05/2014,57
12/05/2014,30
19/05/2014,26
26/05/2014,7
02/06/2014,13
09/06/2014,6
16/06/2014,5
23/06/2014,6
30/06/2014,3
07/07/2014,0
14/07/2014,0
21/07/2014,0
28/07/2014,0
04/08/2014,2
11/08/2014,0
18/08/2014,2
25/08/2014,1
01/09/2014,5
08/09/2014,1
15/09/2014,5
22/09/2014,3
29/09/2014,5
06/10/2014,6
13/10/2014,14
20/10/2014,12
27/10/2014,7
03/11/2014,5
10/11/2014,4
17/11/2014,5
24/11/2014,5
01/12/2014,1
08/12/2014,3
15/12/2014,1
22/12/2014,4
29/12/2014,4
05/01/2015,3
12/01/2015,6
19/01/2015,6
26/01/2015,11
02/02/2015,19
09/02/2015,24
16/02/2015,20
23/02/2015,16
02/03/2015,18
09/03/2015,10
16/03/2015,5
23/03/2015,7
30/03/2015,1
06/04/2015,3
13/04/2015,1
20/04/2015,1
27/04/2015,9
04/05/2015,7
11/05/2015,4
18/05/2015,12
25/05/2015,14
01/06/2015,6
08/06/2015,2
15/06/2015,6
22/06/2015,3
29/06/2015,1
06/07/2015,1
13/07/2015,6
20/07/2015,7
27/07/2015,14
03/08/2015,23
10/08/2015,29
17/08/2015,43
24/08/2015,38
31/08/2015,33
07/09/2015,7
14/09/2015,6
21/09/2015,4
28/09/2015,3
05/10/2015,3
12/10/2015,9
19/10/2015,7
26/10/2015,3
02/11/2015,1
09/11/2015,0
16/11/2015,0
23/11/2015,2
30/11/2015,0
07/12/2015,1
14/12/2015,3
21/12/2015,0
04/01/2016,0
11/01/2016,2
18/01/2016,2
25/01/2016,2
01/02/2016,2
08/02/2016,6
15/02/2016,6
22/02/2016,10
29/02/2016,7
07/03/2016,19
14/03/2016,14
21/03/2016,10
28/03/2016,4
04/04/2016,2
11/04/2016,5
18/04/2016,4
25/04/2016,1
02/05/2016,2
09/05/2016,1
16/05/2016,1
23/05/2016,0
30/05/2016,1
06/06/2016,2
13/06/2016,5
20/06/2016,26
27/06/2016,13
04/07/2016,5
11/07/2016,3
18/07/2016,1
25/07/2016,2
01/08/2016,1
08/08/2016,3
15/08/2016,2
22/08/2016,1
29/08/2016,1
05/09/2016,2
12/09/2016,1
19/09/2016,4
26/09/2016,1
03/10/2016,0
10/10/2016,1
17/10/2016,8
24/10/2016,4
31/10/2016,4
07/11/2016,5
14/11/2016,5
21/11/2016,3
28/11/2016,9
05/12/2016,11
12/12/2016,2
19/12/2016,4
26/12/2016,9
02/01/2017,8
09/01/2017,7
16/01/2017,3
23/01/2017,5
30/01/2017,3
06/02/2017,6
13/02/2017,4
20/02/2017,5
27/02/2017,3
06/03/2017,5
13/03/2017,7
20/03/2017,2
27/03/2017,5
03/04/2017,5
10/04/2017,3
17/04/2017,2
24/04/2017,3
01/05/2017,5
08/05/2017,4
15/05/2017,3
22/05/2017,6
29/05/2017,2
05/06/2017,15
12/06/2017,28
19/06/2017,12
26/06/2017,4
03/07/2017,1
10/07/2017,1
17/07/2017,0
24/07/2017,3
31/07/2017,5
07/08/2017,4
14/08/2017,14
21/08/2017,3
28/08/2017,5
04/09/2017,5
11/09/2017,1
18/09/2017,3
25/09/2017,2
02/10/2017,3
09/10/2017,2
16/10/2017,1
23/10/2017,3
30/10/2017,5
06/11/2017,2
13/11/2017,3
20/11/2017,3
27/11/2017,3
04/12/2017,3
11/12/2017,0
18/12/2017,3
25/12/2017,4
01/01/2018,5
01/01/2018,6
08/01/2018,5
15/01/2018,4
22/01/2018,7
29/01/2018,1
05/02/2018,8
12/02/2018,6
19/02/2018,8
26/02/2018,4
05/03/2018,3
12/03/2018,5
19/03/2018,4
26/03/2018,2
02/04/2018,5
09/04/2018,2
16/04/2018,0
23/04/2018,1
30/04/2018,1
07/05/2018,1
14/05/2018,2
21/05/2018,4
28/05/2018,11
04/06/2018,1
11/06/2018,1
